,num_svms,c,acc,f1,time,precision,recall
0,7.0,1e-05,0.9571740424687438,0.9538290758872653,198.93749809265137,0.9508734993610483,0.9571740424687438
1,7.0,0.0001,0.9731295892042072,0.9695348904963217,89.9995710849762,0.9660977872748411,0.9731295892042072
2,7.0,0.001,0.9761857511410994,0.9762721336747398,47.09382772445679,0.9766144405121091,0.9761857511410994
3,7.0,0.01,0.9812264338162334,0.9815883375750919,33.93440794944763,0.9823315205133863,0.9812264338162334
4,7.0,0.1,0.9889263742806113,0.9891222422879042,138.2221040725708,0.9895013637798569,0.9889263742806113
5,7.0,1.0,0.9902758483826156,0.9904282818551043,46.21088194847107,0.9907618902961345,0.9902758483826156
6,7.0,10.0,0.9919031553879738,0.9920315584027809,111.0404007434845,0.9922854548658998,0.9919031553879738
7,7.0,100.0,0.9919031553879738,0.992031230694296,618.2701697349548,0.9922820509298097,0.9919031553879738
8,7.0,1000.0,0.9919428458027386,0.9920365437760572,19721.17325282097,0.9922285945316897,0.9919428458027386
9,10.0,1e-05,0.9533240722365549,0.9501179323181459,148.01031684875488,0.947467842926023,0.9533240722365549
10,10.0,0.0001,0.9733677316927962,0.9697717431494839,63.53073167800903,0.9663309386533606,0.9733677316927962
11,10.0,0.001,0.9751934907719786,0.9752155020211998,33.10698914527893,0.9752970067989974,0.9751934907719786
12,10.0,0.01,0.980353244691407,0.9807754125283266,24.582552671432495,0.9816126258227331,0.980353244691407
13,10.0,0.1,0.9872196864457233,0.9874385010855657,22.735958099365234,0.9878608828882438,0.9872196864457233
14,10.0,1.0,0.9899186346497321,0.9900785244715036,31.532964944839478,0.9905146258218402,0.9899186346497321
15,10.0,10.0,0.9911093470926772,0.9912448293780636,1903.5688288211823,0.9915506082809731,0.9911093470926772
16,10.0,100.0,0.991149037507442,0.9912791898400625,1498.4281861782074,0.9916207077361905,0.991149037507442
17,10.0,1000.0,0.9915062512403254,0.9916052579765601,38936.733937978745,0.9918846258852999,0.9915062512403254
