,data,num_svms,c,acc,f1,time,precision,recall
0,overlap,7,"[10, 10, 10, 10, 10, 10, 10]",0.7677430801987225,0.7368808462861762,115.32223534584045,0.794903817857868,0.7677430801987225
1,overlap,7,"[100, 100, 100, 100, 100, 100, 100]",0.7595369056068133,0.7304634493091039,626.886834859848,0.7901223818008196,0.7595369056068133
2,overlap,7,"[1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.7539034776437189,0.7235280760674709,7030.801619052887,0.7868685199794263,0.7539034776437189
3,overlap,7,"[10, 10, 10, 10, 10, 10, 100]",0.7622870830376153,0.7315570559500431,183.888503074646,0.7912889881408481,0.7622870830376153
4,overlap,7,"[10, 10, 10, 10, 10, 10, 1000]",0.7636178140525195,0.7339835511429031,578.4381070137024,0.7930976670879912,0.7636178140525195
5,overlap,7,"[100, 100, 100, 100, 100, 100, 10]",0.7694730305180979,0.7397849175623318,562.5601320266724,0.7966375531361063,0.7694730305180979
6,overlap,7,"[100, 100, 100, 100, 100, 100, 1000]",0.757319020581973,0.7284860313807587,923.2189249992371,0.7888983681526225,0.757319020581973
7,overlap,7,"[1000, 1000, 1000, 1000, 1000, 1000, 10]",0.7667672107877928,0.736237184638853,7674.406626939774,0.79508848718327,0.7667672107877928
8,overlap,7,"[1000, 1000, 1000, 1000, 1000, 1000, 100]",0.758694109297374,0.7285734130689449,3609.295425891876,0.7898549707921377,0.758694109297374
9,overlap,7,"[10, 10, 10, 10, 10, 100, 100]",0.7623757984386089,0.7315808385345252,293.1229581832886,0.7910102423978537,0.7623757984386089
10,overlap,7,"[10, 10, 10, 10, 10, 1000, 1000]",0.7634847409510291,0.7336758802243545,1312.311026096344,0.7935953812845713,0.7634847409510291
11,overlap,7,"[100, 100, 100, 100, 100, 10, 10]",0.7692955997161107,0.7396677844455929,3272.5501368045807,0.7965812160137885,0.7692955997161107
12,overlap,7,"[100, 100, 100, 100, 100, 1000, 1000]",0.7572303051809794,0.7283901753003531,27361.660576105118,0.790021649234078,0.7572303051809794
13,overlap,7,"[1000, 1000, 1000, 1000, 1000, 10, 10]",0.7665010645848119,0.7361134476996766,10354.958488702774,0.7953026715951558,0.7665010645848119
14,overlap,7,"[1000, 1000, 1000, 1000, 1000, 100, 100]",0.7586053938963804,0.7286892936858553,21429.83264899254,0.7898184625382849,0.7586053938963804
15,overlap,7,"[10, 10, 10, 10, 100, 100, 100]",0.7625532292405962,0.731603283523261,374.51341009140015,0.7913645638834612,0.7625532292405962
16,overlap,7,"[10, 10, 10, 10, 1000, 1000, 1000]",0.7628637331440739,0.7319121351890917,1927.7144429683685,0.7944178853928878,0.7628637331440739
17,overlap,7,"[100, 100, 100, 100, 10, 10, 10]",0.7690738112136267,0.7395429891264406,381.4140291213989,0.7961650441460996,0.7690738112136267
18,overlap,7,"[100, 100, 100, 100, 1000, 1000, 1000]",0.7560326472675657,0.726063190011734,4215.398416042328,0.789944027311525,0.7560326472675657
