,num_svms,c,acc,f1,time
0,5.0,1e-05,0.9543957134352054,0.5652317592706224,70.46507096290588
1,5.0,0.0001,0.9723754713236753,0.5823918363912496,33.15876507759094
2,5.0,0.001,0.9748759674538598,0.7033040425214296,17.867626190185547
3,5.0,0.01,0.9815042667195872,0.8940495548308037,13.105992794036865
4,5.0,0.1,0.9876959714229013,0.9143480822667931,12.696901798248291
5,5.0,1.0,0.9900773963087914,0.9075336679662869,18.099467992782593
6,5.0,10.0,0.9909505854336178,0.8926660835906972,42.30632710456848
7,5.0,100.0,0.9911887279222068,0.9235192419771254,190.35838103294373
8,5.0,1000.0,0.9915062512403254,0.9248466802006916,1385.7660548686981
9,7.0,1e-05,0.9513395514983132,0.5626494827330087,57.03817105293274
10,7.0,0.0001,0.9724151617384401,0.5822108439530037,27.967823028564453
11,7.0,0.001,0.9750347291129192,0.7037937385088743,14.440927028656006
12,7.0,0.01,0.9802738638618773,0.8819291199931303,9.860790014266968
13,7.0,0.1,0.9863861877356619,0.9100281148880429,10.146239042282104
14,7.0,1.0,0.9898789442349673,0.9158785959014709,13.69846773147583
15,7.0,10.0,0.9909902758483826,0.8992198531883739,31.716480016708374
16,7.0,100.0,0.990910895018853,0.914274376199114,181.5536870956421
17,7.0,1000.0,0.9908315141893232,0.9041901480628518,1303.2336061000824
18,10.0,1e-05,0.9433220877158166,0.5560588829268068,42.31420612335205
19,10.0,0.0001,0.9721373288350863,0.5818342569760734,19.311970949172974
20,10.0,0.001,0.974598134550506,0.6947626458529065,10.350198030471802
21,10.0,0.01,0.9788053185155785,0.8566369511023195,7.564390182495117
22,10.0,0.1,0.9849573328041278,0.8749651250164737,7.287458896636963
23,10.0,1.0,0.9892438975987299,0.8606034961648611,9.727805137634277
24,10.0,10.0,0.9899583250644969,0.8685111414375222,25.753583192825317
25,10.0,100.0,0.9902758483826156,0.8646257312965924,108.25748610496521
26,10.0,1000.0,0.990672752530264,0.8797204217044264,697.6399841308594
