,data,num_svms,c,acc,f1,time,precision,recall
0,non,5,"[10, 10, 10, 10, 10]",0.7724893541518808,0.7411637448383374,43.26373505592346,0.7963227087391538,0.7724893541518808
1,non,5,"[100, 100, 100, 100, 100]",0.7558995741660752,0.727008594171483,194.6569800376892,0.7835265460265274,0.7558995741660752
2,non,5,"[1000, 1000, 1000, 1000, 1000]",0.754347054648687,0.7250154480028049,2354.446517467499,0.7820351208066088,0.754347054648687
3,non,5,"[10, 10, 10, 10, 100]",0.7721788502484032,0.7409090110800811,69.32561588287354,0.7951703212015911,0.7721788502484032
4,non,5,"[10, 10, 10, 10, 1000]",0.771957061745919,0.740801348920295,171.7209551334381,0.7946401833525604,0.771957061745919
5,non,5,"[100, 100, 100, 100, 10]",0.75638750887154,0.7276808452871977,165.2856047153473,0.785227905537422,0.75638750887154
6,non,5,"[100, 100, 100, 100, 1000]",0.7554559971611071,0.7260097649392134,300.76404571533203,0.7826503757558297,0.7554559971611071
7,non,5,"[1000, 1000, 1000, 1000, 10]",0.755722143364088,0.7271326548212793,827.9404261112213,0.7847283953528635,0.755722143364088
8,non,5,"[1000, 1000, 1000, 1000, 100]",0.7554559971611071,0.7269214863969635,862.3328151702881,0.7834604094065866,0.7554559971611071
9,non,5,"[10, 10, 10, 100, 100]",0.7720014194464159,0.7405669897955319,107.15387487411499,0.7941253927417361,0.7720014194464159
10,non,5,"[10, 10, 10, 1000, 1000]",0.7712473385379702,0.7392899014565683,343.84538888931274,0.7926511816191363,0.7712473385379702
11,non,5,"[100, 100, 100, 10, 10]",0.754568843151171,0.7243854093707012,130.07231402397156,0.7827987162460689,0.754568843151171
12,non,5,"[100, 100, 100, 1000, 1000]",0.7554559971611071,0.7259068818265337,437.90587973594666,0.7825742520782837,0.7554559971611071
13,non,5,"[1000, 1000, 1000, 10, 10]",0.7537704045422285,0.7236627019348155,694.6528208255768,0.7817229953614829,0.7537704045422285
14,non,5,"[1000, 1000, 1000, 100, 100]",0.7555447125621008,0.7272947782084133,749.315315246582,0.7836389229212793,0.7555447125621008
15,non,5,"[10, 10, 10, 100, 1000]",0.7717796309439319,0.7404151256084999,223.41941213607788,0.793505657965163,0.7717796309439319
16,non,5,"[100, 100, 100, 10, 1000]",0.7536373314407381,0.7227138246195305,265.7046501636505,0.7800425974362902,0.7536373314407381
17,non,5,"[1000, 1000, 1000, 10, 100]",0.7533711852377573,0.7231733996288293,696.0284340381622,0.7809343603529062,0.7533711852377573
18,non,5,"[10, 10, 100, 100, 1000]",0.7643275372604684,0.733537002274238,248.38593792915344,0.788448036203772,0.7643275372604684
19,non,5,"[10, 10, 1000, 1000, 100]",0.7644162526614621,0.7331833246441838,501.72146010398865,0.7884928914345143,0.7644162526614621
20,non,5,"[100, 100, 1000, 1000, 10]",0.7561213626685592,0.7268307391860612,529.192067861557,0.7842447004988866,0.7561213626685592
