,data,num_svms,c,acc,f1,time,precision,recall
0,non,1,10,0.7659687721788503,0.7360168146062378,182.5809347629547,0.8123159549313183,0.7659687721788503
1,non,1,100,0.764194464158978,0.7335780715529444,16856.333442926407,0.8079937411351802,0.764194464158978
2,non,1,1000,0.762819375443577,0.7318118449588735,5306.683682203293,0.8068173335592137,0.762819375443577
